user,rojo,crawl,stuber,thefarewell,bethanyhamiton
jockowillink,0,0,0,0,0
joerogan,0,0,0,0,0
joestarr187,0,0,0,0,0
johnbuckley82,0,0,0,0,0
johncocozza,0,0,0,0,0
joncaramanica,0,0,0,0,0
jonnixfilm,0,1,0,0,0
jordan__kelvin,0,0,0,0,0
jordanbpeterson,0,0,0,0,0
joshuaboshell,0,0,0,0,0
just_linee,0,0,0,0,0
juv3nt1n0_1897,0,0,0,0,0
kaifaanii,0,0,0,0,0
kaitlyndeverrs,0,0,0,0,0
kathrryyn1,0,0,0,0,0
kaya25561180,0,0,0,0,0
keithandrewrowe,0,1,0,0,0
kerensacadenas,0,0,0,0,0
kevinac2787,0,0,0,0,0
kimura_syoya,0,0,0,0,0
kioopz,0,0,0,0,0
knovak832_novak,0,0,0,0,0
kobokosandals,0,0,0,0,0
krowdster,0,0,0,0,0
kulturec,0,0,0,0,0
kumailn,0,0,3,0,0
kuniv_aid,0,0,0,0,0
kurt_loder,0,0,1,0,0
kylie_conway,0,0,0,0,0
la_oreja,0,0,0,0,0
lablock07,0,0,0,0,0
lalonjamx,0,0,0,0,0
lapierre_maddie,0,0,0,0,0
lauraco90893417,0,0,0,0,0
lauramarano,0,0,0,0,0
lauramitchem1,0,0,0,0,0
laylakaylif,0,0,0,0,0
lcaro67,0,0,0,0,0
le_goldie_,0,0,0,0,0
lenaisapeach,0,0,0,0,0
lepetitmondemx,0,0,0,0,0
leresatee,0,0,0,0,0
letterboxdfame,0,0,0,0,0
lisabassboom,0,0,0,0,0
lisacyoulater,0,0,0,0,0
livary43,0,0,0,0,0
lotusmusica,0,0,0,0,0
louisa_harland,0,0,0,0,0
loveIeighright,0,0,0,0,0
loveajcderight,0,0,0,0,0
lsassociate_jb,0,0,0,0,0
lubiazebadua,0,0,0,0,0
luccyy12,0,0,0,0,0
lumnayofficial,0,0,0,0,0
mPinoe,0,0,0,0,0
madcoolfestival,0,0,0,0,0
maggiegalton,0,0,0,0,0
majonapata,0,0,0,0,0
mantra4good,0,0,0,0,0
maravinnita,0,0,0,0,0
marrleyy5,0,0,0,0,0
matthewroth19,0,0,0,0,0
mazuyn11,0,0,0,0,0
mbellasartes,1,0,0,0,0
mcdonalddetroit,0,0,0,0,0
megaenshea,0,0,0,0,0
meganwmglesga,0,0,0,0,0
meh_frances,0,0,0,0,0
mgflashman,0,0,0,0,0
mguajardou,0,0,0,0,0
mhcovill,0,0,0,1,0
miagothette,0,0,0,0,0
miaportillo28,0,0,0,0,0
michaelnakache,0,0,0,0,0
michelledudash,0,0,0,0,0
mike_Iaconelli,0,0,0,0,0
millaraysmb,0,0,0,0,0
mimiuontherun,0,0,0,0,0
mirandambailey,0,0,0,0,0
missrexha,0,0,0,0,0
